שם,תפקיד,עיר,תקופה
"אבדר, שלום בן סעדיה חסן",סופר,מעזיב,מאה כ׳
"אבהר, יוסף בן סעדיה",סופר,אלטאהרה,מאה י״ז
"אבהר, שלום בן שלום",---,---,---
"אכלופי, זכריה בן נתן",סופר,בית עגל ־ חימח,מאה י״ז
"אכלופי, זכריה בן שלום",סופר,דאר אלמנאמח - מרכז תימן,מאה י״ז
"אכלופי, יהודה בן נחום",סופר,חצן בני קחאשיר,מאה י״ז
"אכלופי, יוסף בן אהרן",סופר,בית סלם - חימח,מאה י״ט
"אכלופי, יחיא",רב קהילה,ביה סלם ־ הימה,מאה י״ט־נ׳
"אכלופי, יצחק בן אברהם",חכם,הימה - מרכז תימן,מאה י״ט־כ׳
"אכלופי, סעדיה בן דוד",מממן ותורם,"כ׳רבה "" חימה",מאה י״ו
"אכלופי, סעדיה בן יוסף",חכם,תימה - מרכז תימן,מאה י״ט
"אכלופי-בוצי, סעדיה בן מוסי-משה",חכם,חימח - מרכז תימן,מאה י”ס-כ<
"אכלופי, שמואל בן יחיא",ראש קהילה וסופר,בית סלם - נתניה,מאה כ׳
"אכ׳סי, אברהם בן שלמה",סופר,כ׳רבה - ר׳מאר,מאה ט״ו
"אלוני, יוסף בן שלום",סופר,---,מאה י״ח
"אלמוני, מחבר הפירוש לרי״ף",מחכמי הימן הקדמתים,---,מאה י״א-י״ב
"אלשיך, יחיא בן נתנאל",מגדולי חכמי תימן וחתן התנ״ך העולמי,צנעא־ ירושלים,מאה כ׳
"אלשין, נתנאל",חכם ומנהיג,צנעא,מאה י״ט־כ׳
"אלשיך, רפאל בן שלום",---,---,---
"אסעד, הלל",חכם,חבאן,מאה ט״ז
"אסראילי, יחיא בן שלמה",סופר,---,מאה ט״ו
"באולי, בניה בן סעדיה",---,---,---
"באסל, זכריה בן סעדיה",סופר,---,מאה י״ט
"באסל, יחיא",רב קהילה,עפאר - כוחלאן,מאה י״ט־כ׳
"בבלי, סעדיה בן יעבץ",מגדולי תימן,ערן!,מאה י״ג
"בדוח, חיים בן שלום",דיין,נאדרות ־ דרום תימן,מאת כ׳
"בדיחי, יחיא בן חיים",חכם ורב בישובי פרוזדור ירושלים,צנעא־ ירושלים,מאה כ׳
"בדיחי, יחיא בן יחיא!",ראש הישיבה הכללית,צנעא,מאה י״ט
"בדיחי, יחיא בן סעדיה",עיין: בדיחי,יחיא בן יהודה-שוכר.,---
"בריחי, יחיא בן שלום",מחכמי הישיבה,צנעא,מאה י״ט
"בוטיל, יוסף",דיין,מנאקדה-ד׳מאר,מאה כ׳
"בונינו, מנחם",דיין,עדן,מאה י״ח־י״ט
"בוסאני, שמואל",מנהיג או דיין,צ׳אלע ־ דרום תימן,מאה י״ט־כ׳
בוצי,---,---,---
"בורה, והב",אב״ד ודיין,אלבוקר-שרעב,מאה כ׳
בושארי,---,---,---
"ביחאני, יעקב בן מנצור",חכם,---,מאה ט״ז!
"ביצ׳אני, סעדיה צאלח זכריה",מנהיג וגזבר,ביצ׳א,אמצע מאה כ׳
"בן אור, סעדיה בן עואץ",---,---,---
"בן אור, עואץ בן שלום",עיין: ד׳וראני,עואץ בן שלום.,---
"בנאיי, יעקב",---,---,---
בניה בן סעדיה בן זכריה,מסופר המפורסם ביותר בתימן,צנעא,מאה ט״ו
בנימין בן אברהם,מנהיג או גזבר,בני חנצ׳ל,מאה ט״ו
"בנימין, צאלח",דיץ,רדאע,אמצע מאה כ׳
"בסיס, שלמה",דייך מרכז תימן,---,מאה י״ס
"ברזילי, סעדיה בן שמעון",רב הישוב גני תקוה,---,מאה כ׳
"ברזילי, שמריהו בן שמעון",ראש ישיבה,מחוז רמת- בני ברק,מאה כ׳
"בשארי, יוסף בן סעדיה",דיין,צנעא,מאה י״ח
"בשארי, יחיא בן יחיא",---,---,---
"בשארי, יחיא בן סעדיה",סופר,---,מאה כ׳
"בשארי, צאלח בן יוסף",חכם,צנעא,מאה י״ח
"בשארי, שלום בן אברהם",רב שכונת מרמורק וממייסדיה,רחובות,"מאה י ""ט-כ׳"
"בשארי, שלום בן ר׳ יוסף",דיין,צנעא,מאה י״ח
"בשירי, זכריה בן אברהם",---,---,---
"בשירי, חיים בן אברהם",---,---,---
"בשירי, יחיא בן אברהם",מגדולי החכמים והסופרים במאה הי״ז,רחבה - מרכז תימן,מאה י״ו
"בשירי, יחיא בן סעדיה",רב קהילה,ביר אלררב ־ רחבה - מרכז תימן,מאה י״ט־כ׳
"בשירי, סעדיה",חכם,מרכז תימן,"מאה י""ט"
"גאבר, יחיא אברהם",מנהיג,שאם - צפון תימן,אמצע המאה הב׳
"ג׳בלי, אברהם בן מרי שלמה",חכם ודיין ירושלים,ר׳ו גבלה-ירושלים,מאה י״ב
"ג׳בלי, שלום בן יוסף",רב קהילה,תואהי-ערן,מאה י״ט־כ׳
"גברא, אברהם בן יעקב",רב קהילה,סוד ורב חדר יוסף בת״א,מאה כ׳
"גברא, אברהם בן יצחק",חכם ומנהיג,סור - מרכז תימן,מאה י״ט־כ׳
"גברא, יצחק בן יצחק",רב עיר ומקובל,סור - מרכז תימן,מאה י״ט־כ׳
"גברא, ראובן בן יצחק",חכם ומנהיג,ציפאן,מאת י״ח-י״מ
"גולבי, אברהם בן יוסף",סופר,---,מאה י״ח
"גזפאן, יוסף בן יוסף",סופר,צנעא,מאה י״ט
"גזפאן, יוסף בן שלמה",סופר,---,מאה י״ט
"גזפאן, שלום יעיש",---,---,---
