שם,תפקיד,עיר,תקופה
"באסל, יחיא",חכם,עפאר - כוחלאן - מרכז תימן,מאה י״ט־כ׳
"דאר, שמעון בן שלום",פעיל ציבור ונדבן,צנעא ־ תל אביב,מאה כ׳
"דגאג, צאלח בן יוסף",רב קהילה - מקבאב - צעדה ־ צפון תימן,---,מאה י״ט־כ׳
דוד,חכם,צגעא,מאה י״ח
דוד,הכם,שראע - ארחב - מרכז תימן,מאה י״ט־כ׳
דוד בן יעיש,רב קהילה - נג׳ראן ־ צפון תימן ־ סעחיוה,---,מאה י״ט-כ'
דוד מחפוץ׳,הכם,רבוע - כ׳ולאן ־ מרכז תימן,מאה י״ט־כ׳
דוד סעדיה,חכם,קרן ערה - אנס - מרכז תימן,מאה י״ט־כ׳
דוד סעדיה,חכם,זורעה,אמצע המאה כ׳
דוד בן סעדיה,חכם,מוראן - ברט ־ צפון תימן,מאה י״ט־כ׳
"דוכ׳אן, אברהם",חכם,צנעא,מאה י״ח
"דוכ׳אן, מנצור",חכם,ר׳מאר ־ ררום מזרח תימן,מאה י״ח
"ד׳מארי, יוסף סעדיה",חכם,מנקרה ־ ד׳מאר ־ מרכז תימן,מאה י״ט־כ׳
"ד׳מארי, יחיא",חכם,בשאר - ד׳מאר ־ מרכז תימן,מאה י״ט־כ׳
"דמתי, סעדיה",חכם,צנעא,מאה י״ח
"דמתי, עואץ׳ בן דוד",חכם,---,מאה י״ט
"דקל, סעדיה בן מרי שלום",הכס,צנעא,מאה י״ח
"דקל, שלום",חכם,צנעא,מאה י״ח
"הבא, יצחק",חכם,קרן אלדחור - חראז ־ מרכז תימן,מאה י״ט־כ׳
"הבא, שלום",חכם,נאבאת ־ חימה ־ מרכז תימן,מאה י״ט־נ׳
"הינדי, סעדיה",רב קהילה,אללסי - ד׳מאר ־ דרום מזרח תימן,מאה כ׳
"הכרי, משה",רב קהילה,גורבאן - אנס ־ מרכז תימן,מאה י״ט־כ׳
"והב, יחיא",חכם,חאז - המדאן - מרכז תימן,מאה י׳׳ט-כ׳
"והב, סעדיה",חכם,ערוס ־ בני זייר - מרכז תימן,מאה י״ט־כ׳
"ועלאני, יחיא",חכם,אללסי - ר׳מאר - מרכז תימן,מאה י״ח
"וקאחי, שלום",חכם,תובאן - חדא - מרכז תימן,מאה י״ט־כ׳
"זכריה, יחיא בן שלום",חכם וסופר,מרגלה - ביצ׳א ־ דרום מזרח תימן,מאה י״ט
"זכ׳מי, שלום",חכם,עאתין - אנס ־. מרכז תימן,מאה י״ט־כ׳
"זנאר, סעדיה",חכם,עאתין - אנס - מרכז תימן,מאה י״ט־כ׳
"חאזי, אברהם",חכם,מסיב ־ בני מטר ־ מרכז תימן,מאה י״ח
"חאזי, יוסף",חכם,צנעא,מאה י״ה
